guten_bid,guten_bname,guten_blan,guten_aid,guten_aname,guten_aalias,good_isbn,good_series,good_lan,good_author_id,good_bid,good_workid,good_title,good_title_without_series,good_aname,good_original_title,good_title_list,guten_bname_list,new_match_good,new_match_guten
76,Adventures of Huckleberry Finn,en,249,"Twain, Mark","['Clemens, Samuel Langhorne', 'Twain, Mark (Samuel Clemens)']",0486417808,[],eng,1244,494166,1835605,Adventures of Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,The Adventures of Huckleberry Finn,"['adventure', 'huckleberry', 'finn']","['adventure', 'huckleberry', 'finn']","[1356292, 28014596, 10479623, 14574617, 1572891, 1482267, 2450460, 219171, 1572901, 978472, 474153, 6926390, 26200119, 10434118, 18192454, 2519622, 6613578, 8829009, 6634579, 3209813, 494166, 56918, 554585, 494177, 494178, 954469, 1835623, 6665319, 22440045, 877167, 1483379, 453753, 840313, 840314, 840327, 17706637, 10112146, 17568409, 18306718, 4908201, 588460, 12634799, 6957755, 13614276, 3304140, 16134862, 17913554, 10518227, 893682, 28142844, 17436925, 19034884, 2118406, 17279762, 6535961, 38681, 20330282, 27862318, 279344, 5561653, 11297092, 415044, 669510, 18513737, 23965518, 6351183, 7617877, 1198936, 1496413, 2880349, 2745192, 252778, 11697008, 7494513, 2745206, 77694, 6599039, 18244993, 2402691, 7209348, 12177797, 2745224, 12970888, 2955, 2956, 2958, 2959, 2960, 2963, 150419, 150421, 4800405, 18755991, 13584787, 2745241, 13418905, 2067357, 1521568, 2820512, 19370, 19371, 19372, 20659628, 19374, 223661, 35109296, 2745263, 597428, 2745269, 3327418, 52154, 7889855, 2745281, 18070468, 6056900, 967110, 765385, 6516692, 445411, 8775140, 7364580, 445414, 20949479, 5053418, 616940, 28264434, 18264052, 31847935]","[19640, 76, 9007]"
77,The House of the Seven Gables,en,1101,"Hawthorne, Nathaniel",[],,[],eng,7799,17925892,1483780,The House of the Seven Gables,The House of the Seven Gables,Nathaniel Hawthorne,The House of the Seven Gables,"['house', 'seven', 'gables']","['house', 'seven', 'gables']","[6728449, 3283459, 17925892, 752899, 955654, 923782, 1124745, 6470666, 1492491, 3337869, 1492493, 1443194, 441230, 951314, 951315, 18715924, 8131605, 12376982, 12307222, 14758169, 12399131, 24519331, 2294694, 772009, 1492525, 6085495, 6984754, 9577531, 6905276, 19714624, 1637317, 17733832, 1387593, 25480397, 6359373, 90192, 90194, 7838291, 90195, 125146, 595678, 6406882, 7724390, 12345323, 7531500, 10300785, 2792689, 215666, 597493, 3389045, 13014007, 7082357, 22333562, 33516286]",[77]
78,Tarzan of the Apes,en,2429,"Burroughs, Edgar Rice",[],0141190531,"['158860', '1100745']",,10885,12389442,1774048,Tarzan Of The Apes,Tarzan Of The Apes,Edgar Rice Burroughs,Tarzan of the Apes,"['tarzan', 'apes']","['tarzan', 'apes']","[33519264, 12389442, 12204578, 28757412, 1120873, 8725962, 28171250, 12708407, 19351576, 13185307, 7783132, 19242205]","[23712, 6532, 78]"
81,The Return of Tarzan,en,2429,"Burroughs, Edgar Rice",[],0345241606,"['158433', '1100750']",,10885,3729484,1685458,The Return Of Tarzan,The Return Of Tarzan,Edgar Rice Burroughs,The Return of Tarzan,"['return', 'tarzan']","['return', 'tarzan']","[12779168, 8829157, 13515240, 3729484, 9306316, 18899502]","[8752, 81]"
82,Ivanhoe: A Romance,en,250,"Scott, Walter","['Scott, Sir Walter', 'Cleishbotham, Jedediah', 'Templeton, Laurence', 'Malagrowther, Malachi']",1438509308,['713465'],eng,4345,3158396,1039021,Ivanhoe: A Romance,Ivanhoe: A Romance,Walter Scott,Ivanhoe,"['ivanhoe', 'romance']","['ivanhoe', 'romance']",[3158396],[82]
83,"From the Earth to the Moon; and, Round the Moon",en,659,"Verne, Jules","['Verne, Jules Gabriel', 'Verne, Jules Gabriël', 'Verne, Júlio']",1596051310,[],,696805,376974,25691219,From the Earth to the Moon and 'Round the Moon,From the Earth to the Moon and 'Round the Moon,Jules Verne,De la Terre a la Lune / Autour de La Lune,"['earth', 'moon', 'round', 'moon']","['earth', 'moon', 'round', 'moon']",[376974],[83]
84,"Frankenstein; Or, The Modern Prometheus",en,9121,"Shelley, Mary Wollstonecraft","['Shelley, Mary Wollstonecraft Godwin', 'Shelley, Mary W.']",1516996240,[],,11139,26589016,4836639,Frankenstein: Or the Modern Prometheus,Frankenstein: Or the Modern Prometheus,Mary Wollstonecraft Shelley,"Frankenstein; or, The Modern Prometheus","['frankenstein', 'modern', 'prometheus']","['frankenstein', 'modern', 'prometheus']","[6390784, 18109065, 16405897, 14985993, 1995276, 29602442, 5354127, 27990671, 28010270, 23823524, 15773093, 10825636, 27996073, 2200106, 417199, 849586, 27996082, 12879922, 1452855, 18488, 10258745, 983225, 983226, 12788284, 4362175, 7421375, 12963656, 2547659, 23598670, 6549840, 386385, 16143703, 26589016, 13424473, 4285530, 15804258, 602213, 30328038, 17698158, 2660591, 6963696, 2660592, 884723, 12360570, 1703675]","[84, 41445, 20038, 42324]"
85,The Beasts of Tarzan,en,2429,"Burroughs, Edgar Rice",[],1482729849,"['152800', '1100751']",,10885,19945405,813976,The Beasts of Tarzan,The Beasts of Tarzan,Edgar Rice Burroughs,The Beasts of Tarzan,"['beasts', 'tarzan']","['beasts', 'tarzan']",[19945405],"[8753, 85]"
86,A Connecticut Yankee in King Arthur's Court,en,249,"Twain, Mark","['Clemens, Samuel Langhorne', 'Twain, Mark (Samuel Clemens)']",0688082580,[],eng,1244,965748,2621763,A Connecticut Yankee in King Arthurs Court,A Connecticut Yankee in King Arthurs Court,Mark Twain,A Connecticut Yankee in King Arthur's Court,"['connecticut', 'yankee', 'king', 'arthurs', 'court']","['connecticut', 'yankee', 'king', 'arthur', 'court']","[31234, 25741699, 1256835, 18466952, 224268, 9299086, 1842704, 2061972, 2369940, 15777945, 6448673, 8489633, 11203747, 945062, 1160106, 7025071, 3471920, 3213364, 8556085, 3213367, 3213368, 13574712, 6455098, 679364, 686789, 924742, 35757641, 2403273, 15852235, 536653, 13627727, 1250770, 168659, 162898, 15884629, 25946326, 22086231, 53338, 15762525, 494173, 4934237, 1118948, 1038565, 6582889, 2541804, 9726956, 12968686, 24768368, 965748, 18681332, 7267447, 18891006, 1673087]","[6533, 7242, 7243, 7244, 7245, 7246, 7247, 7248, 7249, 7250, 19506, 86]"
90,The Son of Tarzan,en,2429,"Burroughs, Edgar Rice",[],1627559825,"['163696', '1100753']",,10885,22514770,2792098,The Son of Tarzan,The Son of Tarzan,Edgar Rice Burroughs,The Son of Tarzan,"['son', 'tarzan']","['son', 'tarzan']",[22514770],"[90, 8754]"
91,Tom Sawyer Abroad,en,249,"Twain, Mark","['Clemens, Samuel Langhorne', 'Twain, Mark (Samuel Clemens)']",1587157039,[],,1244,1146398,14412166,Tom Sawyer Abroad,Tom Sawyer Abroad,Mark Twain,Tom Sawyer Abroad,"['tom', 'sawyer', 'abroad']","['tom', 'sawyer', 'abroad']","[1146398, 6317972, 6447956, 7157109, 8041630]","[91, 9036]"
92,Tarzan and the Jewels of Opar,en,2429,"Burroughs, Edgar Rice",[],1468104802,"['164070', '1100754']",,10885,18819321,2881352,Tarzan and the Jewels of Opar,Tarzan and the Jewels of Opar,Edgar Rice Burroughs,"Tarzan and the Jewels of Opar (Tarzan, #5)","['tarzan', 'jewels', 'opar']","['tarzan', 'jewels', 'opar']","[32165096, 18819321, 18826596]","[8755, 92]"
93,"Tom Sawyer, Detective",en,249,"Twain, Mark","['Clemens, Samuel Langhorne', 'Twain, Mark (Samuel Clemens)']",0486421090,[],,1244,494163,3243410,"Tom Sawyer, Detective","Tom Sawyer, Detective",Mark Twain,"Tom Sawyer, Detective","['tom', 'sawyer', 'detective']","['tom', 'sawyer', 'detective']","[21928705, 7221829, 494163, 3042517, 10044440, 17365433, 1603230]","[9037, 93]"
94,Alexander's Bridge,en,588,"Cather, Willa","['Catherova, Willa', 'Cather, Wilella', 'Cather, Willa Sibert', 'Catherová, Willa']",0684819074,[],,881203,2480335,3040152,Alexander's Bridge,Alexander's Bridge,Willa Cather,Alexander's Bridge,"['alexander', 'bridge']","['alexander', 'bridge']","[6330208, 752932, 2480335, 19213105, 9964339, 3009621, 753494, 445271, 10533148]","[22348, 94]"
95,The Prisoner of Zenda,en,658,"Hope, Anthony","['Hawkins, Anthony Hope']",1582872244,['348224'],,30775,613597,2661176,The Prisoner of Zenda,The Prisoner of Zenda,Anthony Hope,The Prisoner of Zenda,"['prisoner', 'zenda']","['prisoner', 'zenda']","[570754, 22854920, 13565837, 16094097, 6761364, 11534357, 956823, 3359127, 956824, 12804507, 8709247, 1405350, 9527467, 2636473, 443842, 54492, 22591964, 613597, 7138780, 18882783, 1159036, 18216682, 7089389, 6226798, 1831919, 883836, 3985663]","[22436, 95]"
96,The Monster Men,en,2429,"Burroughs, Edgar Rice",[],1600961630,[],,10885,107188,103321,The Monster Men,The Monster Men,Edgar Rice Burroughs,The Monster Men,"['monster', 'men']","['monster', 'men']","[24087038, 1930919, 107188, 107190, 31247068, 33645630]","[96, 8756]"
97,Flatland: A Romance of Many Dimensions,en,4636,"Abbott, Edwin Abbott","['Abbott, E. A. (Edwin Abbott)', 'A Square', 'Abbott, Edwin A. (Edwin Abbott)']",,[],eng,3093075,25844039,4243538,Flatland: A Romance of Many Dimensions,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,Flatland: A Romance of Many Dimensions,"['flatland', 'romance', 'many', 'dimensions']","['flatland', 'romance', 'many', 'dimensions']","[957441, 10669313, 13357958, 957447, 4457101, 9695255, 11810972, 22553981, 26059292, 23433758, 433567, 7000352, 15808674, 8218275, 763558, 18883115, 3146420, 23126454, 850554, 9998785, 11669700, 21811780, 25844039, 22850377, 9669837, 13331282, 13328725, 567637, 1995353, 11478233, 19544667, 15671898, 8471410, 58482, 957434, 957437, 957439]","[97, 45506]"
98,A Tale of Two Cities,en,987,"Dickens, Charles","['Dickens, Charles John Huffam', 'Boz']",1853268518,[],eng,239579,3166402,2956372,A Tale of Two Cities,A Tale of Two Cities,Charles Dickens,A Tale of Two Cities,"['tale', 'two', 'cities']","['tale', 'two', 'cities']","[352770, 13093385, 17286161, 832018, 18194963, 14576149, 1762838, 323612, 5802013, 8706603, 12173360, 13424688, 6473274, 13485630, 7321663, 3422784, 6780489, 1415765, 9896025, 21140057, 5480539, 9847899, 9670752, 13361250, 85093, 5230187, 18167916, 8288370, 6488183, 28821113, 76924, 17283712, 13581455, 832662, 26792599, 11153048, 6940830, 5134513, 3166402, 18111171, 6767811, 12425930, 7491786, 6981326, 9309907, 386260, 751336, 237055, 577263, 748274, 62200, 18661115, 748284, 16207100, 3155710, 62209, 62210, 1947395, 16370433, 22874894, 9844495, 17170, 8454441, 567596, 6056750, 13609775, 6467888, 7321394, 411956, 2928948, 12251446, 12386103, 27886393, 14437701, 13974857, 380236, 30830426, 35439453, 482141, 24397153, 490853, 34450277, 2928997, 3295597, 30817140, 17352571, 795516, 6558596, 2785676, 27175825, 4025238, 1952, 1953, 1955, 1956, 1957, 177574, 11294119, 436136, 20939689, 1959, 1960, 6929836, 1964, 1962, 1971, 2929077, 4671417, 406979, 24823235, 13665224, 135625, 3509194, 3027919, 19572180, 7923681, 7072226, 1350113, 7388133, 2136554, 32913391, 7636463, 17879536, 700920, 9716735]","[98, 7869]"
99,Collected Articles of Frederick Douglass,en,1171,"Douglass, Frederick","['Bailey, Frederick Augustus Washington', 'Baly, Frederick Augustus Washington']",1604240083,[],,18943,1719913,1717268,Collected Articles of Frederick Douglass,Collected Articles of Frederick Douglass,Frederick Douglass,Collected Articles of Frederick Douglass,"['collected', 'articles', 'frederick', 'douglass']","['collected', 'articles', 'frederick', 'douglass']","[1719913, 8174460]",[99]
100,The Complete Works of William Shakespeare,en,253,"Shakespeare, William","['Shakspeare, William', 'Shakspere, William']",1840225572,[],eng,947,2168651,3000541,The Complete Works of William Shakesepeare,The Complete Works of William Shakesepeare,William Shakespeare,The Complete Works,"['complete', 'works', 'william', 'shakesepeare']","['complete', 'works', 'william', 'shakespeare']","[18880128, 240394, 17134346, 1418, 18375949, 764563, 2328085, 2372249, 7862439, 1634618, 2872637, 10152772, 4914757, 2168651, 1589582, 28824144, 20981077, 17830878, 8567395, 1140070]",[100]
101,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,en,25357,"Sterling, Bruce",[],055356370X,[],eng,34429,61182,962299,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,Bruce Sterling,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"['hacker', 'crackdown', 'law', 'disorder', 'electronic', 'frontier']","['hacker', 'crackdown', 'law', 'disorder', 'electronic', 'frontier']","[11534643, 61182]",[101]
102,The Tragedy of Pudd'nhead Wilson,en,249,"Twain, Mark","['Clemens, Samuel Langhorne', 'Twain, Mark (Samuel Clemens)']",1421807785,[],,1244,2668626,2630409,The Tragedy of Pudd'nhead Wilson,The Tragedy of Pudd'nhead Wilson,Mark Twain,The Tragedy of Puddn'head Wilson,"['tragedy', 'puddnhead', 'wilson']","['tragedy', 'puddnhead', 'wilson']","[496768, 8705442, 655143, 6354121, 22158287, 1277744, 2668626, 1256853, 31062, 675486, 18619519]","[9035, 102]"
103,Around the World in Eighty Days,en,659,"Verne, Jules","['Verne, Jules Gabriel', 'Verne, Jules Gabriël', 'Verne, Júlio']",812191549X,['1087314'],eng,696805,21025194,4537271,Round the World in Eighty Days,Round the World in Eighty Days,Jules Verne,Le tour du monde en quatre-vingts jours,"['round', 'world', 'eighty', 'days']","['around', 'world', 'eighty', 'days']","[25039883, 14560272, 6262292, 10128926, 158241, 3676708, 161842, 12317235, 9199161, 24331331, 32836, 2171971, 32843, 13494868, 3676247, 6607962, 14575196, 16070756, 10597988, 2962022, 1299572, 7114366, 10838173, 1111709, 24562335, 1942688, 3947184, 15903411, 2012360, 54482, 54486, 7199960, 7644377, 556765, 16702186, 29610731, 35419883, 741615, 6078197, 25280245, 15774984, 13009169, 2890001, 2890005, 2890014, 34213155, 8200487, 6573355, 8123714, 67906, 67909, 67910, 1038667, 1038671, 15765329, 931155, 13608277, 13419353, 236897, 7941476, 6504818, 13003651, 25810321, 26058650, 15865755, 10171817, 21025194, 1643946, 1873838, 2010550, 27273169, 17314773, 16481751, 25419741, 6481375, 20920288, 7740385, 13545439, 10634727, 11626472, 9803242, 11049457, 659445, 659447, 6200828, 5200381]","[28947, 8982, 103]"
105,Persuasion,en,439,"Austen, Jane",[],,[],eng,1265,23121728,2534720,Persuassion,Persuassion,Jane Austen,Persuasion,['persuassion'],['persuasion'],"[10455044, 29424135, 21678601, 28260362, 14841868, 30653460, 467992, 20634137, 25011225, 8344091, 13504539, 447005, 926244, 468004, 4934188, 32707663, 7494226, 3019859, 2963544, 5509210, 16156251, 31298657, 2156, 2511353, 21951599, 11199602, 8691828, 7104121, 11240570, 18500732, 1715847, 25597577, 11052685, 11331726, 725655, 442527, 6095519, 298150, 298151, 37546, 1375916, 883375, 16036020, 13343421, 9587907, 16132298, 3228365, 13614290, 23094491, 13110496, 21937378, 2567909, 6710504, 11771113, 2417386, 157419, 6710509, 656626, 2705653, 3603189, 6077689, 25602298, 13503235, 91910, 91913, 91914, 91915, 91916, 31840528, 3505962, 3505964, 8375597, 16045870, 3000623, 4906800, 3000624, 468274, 1886524, 23121728, 3505984, 208705, 3505989, 3505994, 208715, 3234126, 3506006, 3506007, 2373467, 208732, 3506014, 3506015, 32491359, 3506017, 6567269, 18300265, 16000363, 3577200, 6314358, 548729, 10874756, 2381701, 3506055, 17352583, 17455501, 18042268, 486302, 8441251, 837541, 15718832, 1704372, 23524789, 12811199, 208832, 30654401, 111042, 2434500, 13664709, 31693, 2966990, 26883539, 2711001, 1410526, 18656736, 10317793, 25786340, 11758566, 6023145, 6104554, 1829867, 13479915, 8130027, 18926066, 16070137, 47098, 13646335]","[105, 22963]"
108,The Return of Sherlock Holmes,en,938,"Doyle, Arthur Conan","['Conan Doyle, Arthur, Sir', 'Doyle, Sir Arthur Conan', 'Doyle, A. Conan']",1853268534,['185870'],eng,2448,640380,2445338,Return Of Sherlock Holmes,Return Of Sherlock Holmes,Arthur Conan Doyle,The Return of Sherlock Holmes,"['return', 'sherlock', 'holmes']","['return', 'sherlock', 'holmes']","[7518336, 11059458, 32601603, 6193673, 18300304, 25260179, 17766045, 13554461, 162846, 1966241, 13410473, 13487023, 10346287, 7544633, 194366, 6597318, 24197065, 12164308, 13456981, 11398489, 7830235, 8540895, 12483556, 1027836, 1541354, 640380, 8932606]","[9553, 108, 221]"
109,"Renascence, and Other Poems",en,7802,"Millay, Edna St. Vincent","['Boyd, Nancy', 'Boissevain, Edna St. Vincent Millay']",048626873X,[],,33998,537430,327126,Renascence and Other Poems,Renascence and Other Poems,Edna St. Vincent Millay,Renascence and Other Poems,"['renascence', 'poems']","['renascence', 'poems']","[336676, 7082760, 537430, 1829079, 8514398]",[109]
110,Tess of the d'Urbervilles: A Pure Woman,en,471,"Hardy, Thomas",[],,[],,15905,18880798,3331021,"Tess of the d'Urbervilles, a Pure Woman","Tess of the d'Urbervilles, a Pure Woman",Thomas Hardy,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"['tess', 'durbervilles', 'pure', 'woman']","['tess', 'durbervilles', 'pure', 'woman']","[5166221, 960623, 1221968, 436304, 18880798]","[9433, 110]"
111,Freckles,en,858,"Stratton-Porter, Gene",[],,['381030'],,1372693,7445682,3101438,Freckles,Freckles,Gene Stratton-Porter,Freckles,['freckles'],['freckles'],"[32201985, 17572, 6921127, 5583496, 1995242, 7445682, 3704402, 6347575, 18873752, 823514, 24306555, 15750300, 6603678]",[111]
113,The Secret Garden,en,3652,"Burnett, Frances Hodgson","['Hodgson, Frances Eliza', 'Townesend, Frances Eliza Hodgson Burnett']",006075771X,[],,2041,210295,3186437,The Secret Garden,The Secret Garden,Frances Hodgson Burnett,The Secret Garden,"['secret', 'garden']","['secret', 'garden']","[3471872, 2529281, 541702, 9084424, 22876683, 20824077, 25165326, 1793039, 1520147, 2560534, 371223, 18202649, 960551, 17705513, 10096174, 663087, 7185971, 36323384, 23785536, 7006788, 31237190, 22724683, 16041550, 29939281, 8829010, 2291795, 6541912, 30759513, 9913438, 16212575, 21858399, 5844575, 34743400, 1663596, 7051373, 402032, 13942, 35995767, 29075062, 22676087, 1663606, 1817217, 28473477, 2183303, 25471118, 21017230, 6185118, 10358951, 18866857, 15796906, 34625709, 21518001, 1278643, 3146423, 12577981, 11486916, 24686789, 2995910, 885455, 23732953, 805598, 946402, 38633, 7044330, 38637, 38638, 5844721, 1877235, 11030772, 25522946, 10805001, 2679049, 1785109, 20927258, 5844768, 6766880, 18214690, 742181, 980779, 13558060, 23159609, 824122, 824123, 206659, 35667782, 18801481, 33384783, 2302801, 1233238, 2233686, 27153750, 6429526, 5844822, 9657692, 23171422, 13622625, 2302818, 4019555, 26962793, 16000365, 210286, 210287, 16563056, 33288047, 210288, 23125361, 7028086, 210295, 13503352, 210297, 35445114, 8134520, 6195585, 231815, 16112527, 471951, 15945617, 1852305, 2480022, 17795482, 11447711, 31707040, 18249634, 22574498, 1916851, 2996, 2682293, 2998, 2999, 13424057, 25319866, 3003, 3548092, 3006, 2457023, 519105, 1129924, 2436040, 1259472, 13664720, 27094, 28009944, 13050845, 9551326, 13499871, 12395485, 1645031, 2116587, 11317227, 525807, 24753138, 27063805, 9226750]","[21585, 113, 8812, 17396]"
119,A Tramp Abroad,en,249,"Twain, Mark","['Clemens, Samuel Langhorne', 'Twain, Mark (Samuel Clemens)']",0140436081,[],eng,1244,954455,698,A Tramp Abroad,A Tramp Abroad,Mark Twain,A Tramp Abroad,"['tramp', 'abroad']","['tramp', 'abroad']","[18714080, 6150876, 10975227, 333033, 2313452, 18818387, 954455, 29974235, 6278044, 2974]","[9040, 119]"
120,Treasure Island,en,117,"Stevenson, Robert Louis","['Stevenson, R. L. (Robert Louis)']",0670869201,[],,854076,6719180,3077988,Treasure Island,Treasure Island,Robert Louis Stevenson,Treasure Island,"['treasure', 'island']","['treasure', 'island']","[7181826, 16156165, 6218253, 25782800, 30286354, 3079200, 1586208, 3079202, 16078882, 748068, 22887981, 25026098, 2762802, 3046968, 2571321, 1120833, 12369484, 2130001, 17375315, 9441884, 6113373, 13637218, 9832043, 2949748, 22676086, 6533771, 9930380, 8426123, 6617748, 2962068, 1784471, 16162969, 16387228, 15800477, 15796895, 6995618, 6213798, 18799272, 20893866, 1607339, 2609837, 6431406, 1786556, 333002, 333003, 6719180, 417994, 7362256, 418005, 14891221, 418011, 35486940, 2887900, 2150110, 418012, 418023, 418025, 10726125, 11940595, 94964, 418044, 5349631, 25272581, 17234695, 27871496, 5522195, 418070, 13590299, 10769180, 16370459, 418078, 21544736, 7323937, 11527461, 295, 296, 297, 298, 2900267, 301, 418094, 1984826, 23245634, 3047236, 17604933, 418117, 11413833, 6560590, 1111375, 1326420, 931164, 27876700, 16095069, 2256743, 6257518, 820594, 7236980, 820597, 820598, 820596, 7031160, 18052481, 13133186, 29750145, 21003140, 24611721, 223115, 19346, 240025, 158618, 18951584, 7797159, 28591527, 356783, 2387891, 897462, 10878902, 3896760, 1064889, 356799, 5834178, 765380, 7740363, 9410003, 30180822, 444377, 6461405, 10099168, 1949154, 12584931, 15774695, 3683821, 11811320, 1980409, 16037886]","[120, 27780, 23936]"
